Series_Title,Genre,IMDB_Rating
The Shawshank Redemption,Drama,9.3
The Godfather,"Crime, Drama",9.2
The Dark Knight,"Action, Crime, Drama",9
The Godfather: Part II,"Crime, Drama",9
12 Angry Men,"Crime, Drama",9
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",8.9
Pulp Fiction,"Crime, Drama",8.9
Schindler's List,"Biography, Drama, History",8.9
Inception,"Action, Adventure, Sci-Fi",8.8
Fight Club,Drama,8.8
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",8.8
Forrest Gump,"Drama, Romance",8.8
"Il buono, il brutto, il cattivo",Western,8.8
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",8.7
The Matrix,"Action, Sci-Fi",8.7
Goodfellas,"Biography, Crime, Drama",8.7
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7
One Flew Over the Cuckoo's Nest,Drama,8.7
Hamilton,"Biography, Drama, History",8.6
Gisaengchung,"Comedy, Drama, Thriller",8.6
Soorarai Pottru,Drama,8.6
Interstellar,"Adventure, Drama, Sci-Fi",8.6
Cidade de Deus,"Crime, Drama",8.6
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",8.6
Saving Private Ryan,"Drama, War",8.6
The Green Mile,"Crime, Drama, Fantasy",8.6
La vita è bella,"Comedy, Drama, Romance",8.6
Se7en,"Crime, Drama, Mystery",8.6
The Silence of the Lambs,"Crime, Drama, Thriller",8.6
Star Wars,"Action, Adventure, Fantasy",8.6
Seppuku,"Action, Drama, Mystery",8.6
Shichinin no samurai,"Action, Adventure, Drama",8.6
It's a Wonderful Life,"Drama, Family, Fantasy",8.6
Joker,"Crime, Drama, Thriller",8.5
Whiplash,"Drama, Music",8.5
The Intouchables,"Biography, Comedy, Drama",8.5
The Prestige,"Drama, Mystery, Sci-Fi",8.5
The Departed,"Crime, Drama, Thriller",8.5
The Pianist,"Biography, Drama, Music",8.5
Gladiator,"Action, Adventure, Drama",8.5
American History X,Drama,8.5
The Usual Suspects,"Crime, Mystery, Thriller",8.5
Léon,"Action, Crime, Drama",8.5
The Lion King,"Animation, Adventure, Drama",8.5
Terminator 2: Judgment Day,"Action, Sci-Fi",8.5
Nuovo Cinema Paradiso,"Drama, Romance",8.5
Hotaru no haka,"Animation, Drama, War",8.5
Back to the Future,"Adventure, Comedy, Sci-Fi",8.5
Once Upon a Time in the West,Western,8.5
Psycho,"Horror, Mystery, Thriller",8.5
Casablanca,"Drama, Romance, War",8.5
Modern Times,"Comedy, Drama, Family",8.5
City Lights,"Comedy, Drama, Romance",8.5
Capharnaüm,Drama,8.4
Ayla: The Daughter of War,"Biography, Drama, History",8.4
Vikram Vedha,"Action, Crime, Drama",8.4
Kimi no na wa.,"Animation, Drama, Fantasy",8.4
Dangal,"Action, Biography, Drama",8.4
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",8.4
Avengers: Endgame,"Action, Adventure, Drama",8.4
Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4
Coco,"Animation, Adventure, Family",8.4
Django Unchained,"Drama, Western",8.4
The Dark Knight Rises,"Action, Adventure",8.4
3 Idiots,"Comedy, Drama",8.4
Taare Zameen Par,"Drama, Family",8.4
WALL·E,"Animation, Adventure, Family",8.4
The Lives of Others,"Drama, Mystery, Thriller",8.4
Oldeuboi,"Action, Drama, Mystery",8.4
Memento,"Mystery, Thriller",8.4
Mononoke-hime,"Animation, Action, Adventure",8.4
Once Upon a Time in America,"Crime, Drama",8.4
Raiders of the Lost Ark,"Action, Adventure",8.4
The Shining,"Drama, Horror",8.4
Apocalypse Now,"Drama, Mystery, War",8.4
Alien,"Horror, Sci-Fi",8.4
Anand,"Drama, Musical",8.4
Tengoku to jigoku,"Crime, Drama, Mystery",8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,8.4
Witness for the Prosecution,"Crime, Drama, Mystery",8.4
Paths of Glory,"Drama, War",8.4
Rear Window,"Mystery, Thriller",8.4
